"Date","Price","Open","High","Low","Change %"
"Mar 20, 1984","1.4390","1.4390","1.4390","1.4390","0.63%"
"Mar 19, 1984","1.4300","1.4300","1.4300","1.4300","-1.04%"
"Mar 16, 1984","1.4450","1.4450","1.4450","1.4450","-1.10%"
"Mar 15, 1984","1.4610","1.4610","1.4610","1.4610","-0.38%"
"Mar 14, 1984","1.4665","1.4665","1.4665","1.4665","-0.07%"
"Mar 13, 1984","1.4675","1.4675","1.4675","1.4675","0.98%"
"Mar 12, 1984","1.4532","1.4532","1.4532","1.4532","-0.64%"
"Mar 09, 1984","1.4625","1.4625","1.4625","1.4625","0.31%"
"Mar 08, 1984","1.4580","1.4580","1.4580","1.4580","-1.19%"
"Mar 07, 1984","1.4755","1.4755","1.4755","1.4755","-0.57%"
"Mar 06, 1984","1.4840","1.4840","1.4840","1.4840","-0.03%"
"Mar 05, 1984","1.4845","1.4845","1.4845","1.4845","0.24%"
"Mar 02, 1984","1.4810","1.4810","1.4810","1.4810","0.20%"
"Mar 01, 1984","1.4780","1.4780","1.4780","1.4780","-0.84%"
"Feb 29, 1984","1.4905","1.4905","1.4905","1.4905","-0.07%"
"Feb 28, 1984","1.4915","1.4915","1.4915","1.4915","1.26%"
"Feb 27, 1984","1.4730","1.4730","1.4730","1.4730","0.03%"
"Feb 24, 1984","1.4725","1.4725","1.4725","1.4725","1.03%"
"Feb 23, 1984","1.4575","1.4575","1.4575","1.4575","0.41%"
"Feb 22, 1984","1.4515","1.4515","1.4515","1.4515","0.73%"
"Feb 21, 1984","1.4410","1.4410","1.4410","1.4410","-0.69%"
"Feb 17, 1984","1.4510","1.4510","1.4510","1.4510","0.35%"
"Feb 16, 1984","1.4460","1.4460","1.4460","1.4460","0.10%"
"Feb 15, 1984","1.4445","1.4445","1.4445","1.4445","1.16%"
"Feb 14, 1984","1.4280","1.4280","1.4280","1.4280","0.97%"
"Feb 10, 1984","1.4143","1.4143","1.4143","1.4143","-0.47%"
"Feb 09, 1984","1.4210","1.4210","1.4210","1.4210","0.58%"
"Feb 08, 1984","1.4128","1.4128","1.4128","1.4128","0.15%"
"Feb 07, 1984","1.4107","1.4107","1.4107","1.4107","-0.83%"
"Feb 06, 1984","1.4225","1.4225","1.4225","1.4225","-0.59%"
"Feb 03, 1984","1.4310","1.4310","1.4310","1.4310","0.60%"
"Feb 02, 1984","1.4225","1.4225","1.4225","1.4225","0.89%"
"Feb 01, 1984","1.4100","1.4100","1.4100","1.4100","0.63%"
"Jan 31, 1984","1.4012","1.4012","1.4012","1.4012","-0.44%"
"Jan 30, 1984","1.4074","1.4074","1.4074","1.4074","0.28%"
"Jan 27, 1984","1.4035","1.4035","1.4035","1.4035","-0.18%"
"Jan 26, 1984","1.4060","1.4060","1.4060","1.4060","0.38%"
"Jan 25, 1984","1.4007","1.4007","1.4007","1.4007","0.12%"
"Jan 24, 1984","1.3990","1.3990","1.3990","1.3990","-0.49%"
